Olive Oil,COO
Coconut Oil,COO
Vegetable Oil,COO
Eggs,REF
Milk,REF
Almond Milk,REF
Cheese,REF
Vegan Cheese,REF
Butter,REF
Earth Balance,REF
Yogurt,REF
Soy Yogurt,REF
Cheerios,DRY
Raisin Bran,DRY
Rolled Oats,DRY
Steel Cut Oats,DRY
Apple Cider Vinegar,COO
Balsamic Vinegar,COO
Salsa,CAN
Dried Chickpeas,CAN
Dried Black Beans,CAN
Canned Coconut Milk,CAN
Canned Chickpeas,CAN
Canned Blackbeans,CAN
Carrots,PRO
Kale,PRO
Broccoli,PRO
Apples,PRO
Oranges,PRO
Bananas,PRO
Potatoes,PRO
Sweet Potatoes,PRO
Onions,PRO
"Pasta, Whole Wheat",DRY
"Pasta, White",DRY
Jam,CAN
Pickles,CAN
Tofu,REF
Tempeh,REF
Seitan,REF
Fake Sausage,REF
Almonds,DRY
Cashews,DRY
Peanuts,DRY
"Sugar, White",DRY
"Sugar, Cane",DRY
"Sugar, Brown",DRY
Flour,DRY
Rice,DRY
Quinoa,DRY
Soy Sauce,COO
Tomato Paste,CAN
Tomato Sauce,CAN
"Tomatoes, Diced",CAN
English Breakfast Tea,MIS
Ginger Tea,MIS
Honey,DRY
Agave,DRY
Maple,DRY
"Bread, Whole Wheat",DRY
"Wheat Bread, White",DRY
Lemon Juice,COO
Dish Detergent,MIS
Dish Soap,MIS
Laundry Detergent,MIS
"Peas, Frozen",PRO
"Corn, Frozen",PRO
Toilet Paper,MIS
Ginger,PRO
Tahini,CAN
Peanut Butter,CAN
Miso,COO
